,mass,year,reclat,reclong,log(mass)
361,4500.0,1804,55.9,-4.23333,3.6532125137753435
362,414.0,2003,34.45,132.38333,2.617000341120899
363,167.7,2003,1.345,31.47278,2.2245330626060857
364,305.5,1954,64.43333,21.2,2.485011214578573
365,220000.0,1912,34.9,-110.18333,5.342422680822207
366,1415.0,1923,9.06667,38.41667,3.150756439860309
367,230000.0,1875,41.8,-91.86667,5.361727836017593
368,2420.0,1825,21.3,-157.86667,3.383815365980431
369,180.0,1956,35.66667,115.5,2.255272505103306
370,266.1,1963,39.35,-100.45,2.425044874551389
371,49000.0,1751,46.1,16.33333,4.690196080028514
372,1600.0,2010,26.46469,106.63241,3.2041199826559246
373,112.0,1877,50.3,8.91667,2.0492180226701815
374,14000.0,1901,61.18333,22.68333,4.146128035678238
375,2000.0,1870,52.28333,7.7,3.3010299956639813
376,2500.0,1957,-20.0,-45.0,3.3979400086720375
377,3973.0,1936,58.2,82.93333,3.5991185650553628
378,3457.0,1956,-32.1,28.33333,3.5386993795424067
379,1200.0,1977,-23.2,-51.83333,3.0791812460476247
380,7330.0,1975,-6.03333,145.36667,3.8651039746411278
381,27000.0,1891,39.75,46.66667,4.431363764158987
382,880.0,1917,39.08333,-94.4,2.9444826721501687
383,3000.0,1963,41.0,112.0,3.4771212547196626
384,4576.0,1977,53.415,-111.3375,3.6604860157849677
385,7000.0,1972,-25.5,-54.5,3.845098040014257
386,1300.0,1954,-8.93333,33.8,3.113943352306837
387,3050.0,1928,-31.18333,-57.95,3.484299839346786
388,2024.0,1879,-3.4,-44.33333,3.3062105081677613
389,4720.0,1990,26.59083,-12.95217,3.673941998634088
390,704.5,1938,-8.41667,32.43333,2.847880997445375
391,48000.0,1903,-32.5,21.9,4.681241237375588
392,973.0,1926,26.75,68.41667,2.988112840268352
393,1967.0,1621,31.0,75.0,3.2938043599193367
394,22.0,1866,18.75,75.33333,1.3424226808222062
395,20500.0,1979,39.7,105.8,4.311753861055754
396,34000.0,1889,43.83333,20.44167,4.531478917042255
397,3667.0,2009,46.42137,14.05217,3.5643109099606027
398,5900.0,1873,31.3,72.38333,3.7708520116421442
399,222.0,1964,31.91667,104.91667,2.346352974450639
400,600000.0,1890,30.80833,109.5,5.778151250383644
401,4000000.0,1976,44.05,126.16667,6.6020599913279625
402,100.0,2006,22.68,70.31333,2.0
403,30.0,1877,55.7,24.4,1.4771212547196624
404,40300.0,1924,40.35,-104.9,4.605305046141109
405,483.0,1974,-11.85,15.83333,2.683947130751512
406,5000.0,1819,45.43333,-0.45,3.6989700043360187
407,100000.0,1997,35.5,115.41667,5.0
408,680.0,1876,12.85,76.8,2.832508912706236
409,32490.0,1984,-7.71667,111.2,4.511749711344983
410,950.0,1976,35.2,118.8,2.9777236052888476
411,25250.0,1968,38.74028,-7.27,4.402261382454681
412,91000.0,1821,44.71667,4.3,4.959041392321094
413,3000.0,1857,47.35,21.3,3.4771212547196626
414,13400.0,1971,11.85,8.21667,4.127104798364807
415,89.0,1822,27.08333,78.33333,1.9493900066449128
416,230.0,1838,27.25,79.96667,2.361727836017593
417,1900.0,1908,49.86667,30.83333,3.278753600952829
418,2000.0,1980,15.0,48.3,3.3010299956639813
419,200000.0,1937,55.43333,53.25,5.301029995663981
420,350.0,1890,12.38333,78.51667,2.5440680443502757
421,577.0,1858,45.13333,21.66667,2.7611758131557314
422,950.0,1951,-6.83333,29.5,2.9777236052888476
423,4500.0,1879,17.83333,73.98333,3.6532125137753435
424,2770.0,1942,26.03333,81.46667,3.4424797690644486
425,448.0,1913,36.04167,139.95667,2.651278013998144
426,1293.0,1902,14.18333,75.8,3.111598524880394
427,299.0,1959,31.6,65.78333,2.4756711883244296
428,1630.0,1908,-7.0,115.5,3.2121876044039577
429,400.0,1897,32.08333,76.3,2.6020599913279625
430,11355.0,1942,4.7,33.63333,4.055187138555754
431,1600.0,2004,20.33916,73.22329,3.2041199826559246
432,3500.0,1937,42.45,73.36667,3.5440680443502757
433,3000.0,1840,47.21667,81.01667,3.4771212547196626
434,2220.0,1963,-3.5,35.58333,3.346352974450639
435,180.0,1949,12.9,7.15,2.255272505103306
436,22000.0,1905,27.8,67.16667,4.342422680822207
437,2950.0,1955,31.58333,71.6,3.469822015978163
438,41730.0,1930,-35.08333,139.91667,4.620448384711709
439,710.0,1938,35.36667,136.76667,2.8512583487190755
440,16820.0,2003,29.58333,77.58333,4.225825991461893
441,1500.0,1999,11.33333,10.08333,3.1760912590556813
442,6800.0,2006,25.14333,75.81333,3.832508912706236
443,85000.0,1961,39.26333,31.78,4.929418925714293
444,3300.0,1940,-7.75,112.01667,3.5185139398778875
445,5760.0,2008,36.54194,29.41822,3.760422483423212
446,6937.0,1939,29.45,-96.0,3.841171694499532
447,6669.2,2003,20.4625,86.70278,3.8240737414993218
448,5000.0,1874,48.4,-3.3,3.6989700043360187
449,80000.0,1869,48.11667,-3.08333,4.903089986991944
450,135000.0,1850,38.98333,141.61667,5.1303337684950066
451,13600.0,1873,29.53333,72.3,4.133538908370218
452,3698.0,1932,25.55,83.11667,3.567966906823154
453,1500.0,1787,50.625,35.075,3.1760912590556813
454,450.0,1860,26.95,77.88333,2.6532125137753435
455,100.0,1867,28.01667,75.81667,2.0
456,6109.0,1929,56.75,75.33333,3.7859701251320095
457,9700.0,1910,25.1,81.53333,3.9867717342662448
458,3200.0,1932,16.0,36.0,3.505149978319906
459,100000.0,1983,14.0,28.0,5.0
460,737.6,1962,54.4,10.15,2.867820908045573
461,1500.0,1970,16.58333,-11.33333,3.1760912590556813
462,331.0,1906,36.85,138.38333,2.519827993775719
463,195.0,1809,55.0,34.0,2.290034611362518
464,19000.0,2002,12.76667,9.8,4.278753600952829
465,772.0,1911,43.58333,-89.6,2.887617300335736
466,140.0,1844,54.66667,-7.66667,2.146128035678238
467,67.4,1967,11.63333,24.68333,1.8286598965353198
468,97.7,1906,30.75,-95.95,1.989894563718773
469,1550.0,1914,48.16667,22.30833,3.1903316981702914
470,202.6,1998,43.38333,-80.38333,2.3066394410242617
471,3250.0,1843,51.6,10.8,3.5118833609788744
472,500000.0,1866,48.9,22.4,5.698970004336019
473,136.0,1999,34.73333,135.16667,2.1335389083702174
474,11510.0,1986,34.3,133.95,4.061075323629792
475,238.0,1926,35.73333,139.75,2.376576957056512
476,90.0,1931,42.51667,26.16667,1.954242509439325
477,4300.0,2010,48.76367,21.17633,3.6334684555795866
478,16500.0,1869,49.32694,7.46472,4.217483944213907
479,2440.0,1829,54.03333,40.9,3.387389826338729
480,4000.0,1946,54.33333,56.08333,3.6020599913279625
481,845.2,1906,56.8,77.0,2.926959488380276
482,50000.0,1946,47.83333,30.76667,4.698970004336019
483,2250.0,1938,51.15,31.7,3.3521825181113627
484,453.6,1961,30.73111,66.80222,2.65667304588485
485,6000.0,1811,50.75,33.5,3.7781512503836434
486,3719.0,1906,41.11667,45.0,3.570426178358973
487,200000.0,1949,55.78333,61.36667,5.301029995663981
488,1100000.0,1998,42.25,59.2,6.041392685158225
489,4460.0,1920,37.05,138.38333,3.649334858712142
490,5.0,1860,29.68333,78.38333,0.6989700043360189
491,23.0,1977,44.51667,39.3,1.3617278360175928
492,45000.0,1914,10.83333,76.03333,4.653212513775344
493,4047.0,1932,55.2,75.33333,3.6071332043915665
494,45000.0,1886,32.03333,130.63333,4.653212513775344
495,2800.0,1879,47.08333,1.75,3.4471580313422194
496,399.0,1878,20.66667,-101.28333,2.6009728956867484
497,2000.0,1924,-37.33333,-61.53333,3.3010299956639813
498,45000.0,1985,-31.23333,-58.16667,4.653212513775344
499,3833.0,1871,44.28333,5.58333,3.5835388192543522
500,900.0,1955,26.78333,82.71667,2.9542425094393248
